order_id,order_date,ship_date,delivery_date,order_status,customer_id,customer_name,country,state,city,product_id,product_name,category,sub_category,brand,quantity,unit_price,discount,shipping_cost,total_sales,payment_method
A10000,2026-01-31,2026-01-31,2026-01-08,Delivered,C5691,Ricky Potter,India,South Carolina,New Joe,P703,without,Home,Furniture,Doyle-Jordan,3,42467.79,0.26,60.85,94339.3438,Card
A10001,2026-01-20,2026-02-03,2026-02-03,Delivered,C9811,Chris Davenport,India,Tennessee,Madisonmouth,P348,school,Home,Furniture,Davis LLC,2,36138.76,0.24,112.96,55043.8752,COD
A10002,2026-01-15,2026-02-07,2026-01-03,Delivered,C7341,Timothy Gallagher,India,Iowa,East Larryberg,P493,I,Electronics,Laptop,Watson and Sons,4,47148.93,0.14,64.11,162256.42919999998,UPI
A10003,2026-01-18,2026-01-15,2026-01-20,Delivered,C4012,Angela Collins,India,Kentucky,South Margaretshire,P305,step,Electronics,Laptop,"Sandoval, Buckley and Solis",1,18487.99,0.06,114.15,17492.860600000004,Card
A10004,2026-01-27,2026-01-04,2026-01-23,Delivered,C1328,David Davidson DDS,India,North Dakota,Velasquezview,P488,bit,Home,Kitchen,"Key, Bautista and Bowen",1,1742.25,0.1,40.47,1608.4950000000001,UPI
A10005,2026-01-05,2026-01-12,2026-01-11,Delivered,C9019,Lauren Russell,India,South Carolina,Ryanburgh,P426,through,Home,Furniture,Lee Inc,3,12618.95,0.22,105.47,29633.813000000006,Card
A10006,2026-01-04,2026-01-10,2026-01-21,Delivered,C9866,Heather Campos,India,Colorado,Turnerville,P801,page,Electronics,Mobile,Wade-Jackson,4,41577.6,0.06,29.9,156361.67599999998,COD
A10007,2026-02-07,2026-02-01,2026-01-10,Delivered,C2638,Elizabeth Thornton,India,Georgia,Ricemouth,P201,choice,Home,Furniture,Johns-Kelly,4,21118.07,0.19,61.18,68483.72679999999,COD
A10008,2026-02-09,2026-02-03,2026-01-01,Delivered,C4823,Theresa Collins,India,Maryland,Coreystad,P563,like,Electronics,Mobile,"Silva, White and Bates",5,12891.02,0.03,99.08,62620.52700000001,COD
A10009,2026-01-24,2026-01-26,2026-02-10,Delivered,C9948,Chelsea Brown,India,South Carolina,Kendraton,P613,example,Fashion,Clothing,"Carroll, Barnes and Harris",2,42438.49,0.12,144.57,74836.31240000001,UPI
A10010,2026-01-27,2026-01-03,2026-01-24,Delivered,C9288,Jamie Gamble,India,Montana,Shieldston,P158,alone,Electronics,Mobile,"Robinson, Baxter and Alexander",3,29556.04,0.27,42.02,64769.747599999995,COD
A10011,2026-01-17,2026-01-17,2026-02-06,Delivered,C6925,Antonio Allen,India,Georgia,Lawrenceland,P581,experience,Home,Furniture,Johns and Sons,4,5542.35,0.3,57.5,15576.08,UPI
A10012,2026-01-15,2026-01-24,2026-01-20,Delivered,C1171,Kyle Fuller,India,Texas,North Jordan,P726,firm,Home,Kitchen,Leblanc LLC,1,49691.03,0.02,60.57,48757.7794,COD
A10013,2026-01-02,2026-01-06,2026-01-10,Delivered,C9232,Veronica Villa,India,California,South Heather,P840,series,Electronics,Accessories,Monroe PLC,2,2200.82,0.13,120.87,3950.2968,COD
A10014,2026-01-30,2026-01-22,2026-02-04,Delivered,C4714,Jennifer Dyer,India,Massachusetts,Patriciashire,P389,method,Home,Furniture,Flynn Group,4,5722.45,0.25,95.12,17262.469999999998,Card
A10015,2026-01-25,2026-02-05,2026-01-15,Delivered,C1066,Dakota Henderson,India,North Carolina,Lake Karenland,P355,little,Home,Kitchen,Johnson-Sandoval,5,44104.27,0.28,54.01,158829.38199999998,Card
A10016,2026-01-31,2026-01-24,2026-01-05,Delivered,C3363,Thomas Thompson,India,Vermont,Port Beverly,P670,specific,Home,Kitchen,"Wu, Lee and Smith",3,39963.9,0.22,69.98,93585.50600000001,NetBanking
A10017,2026-01-01,2026-02-08,2026-01-20,Delivered,C5554,Mark Roberts,India,Oklahoma,Mariafort,P413,themselves,Home,Kitchen,Steele-Butler,2,12575.81,0.06,27.8,23670.322799999998,Card
A10018,2026-01-31,2026-01-07,2026-01-20,Delivered,C2204,Michelle Colon,India,Iowa,Nielsenton,P693,pull,Electronics,Laptop,"Wong, Simmons and Holt",2,19050.21,0.19,23.32,30884.660200000002,Card
A10019,2026-02-04,2026-01-13,2026-02-08,Delivered,C5064,Phyllis Farrell,India,Kansas,West Blakemouth,P347,ground,Electronics,Laptop,"Hammond, Freeman and Young",4,19917.19,0.02,124.85,78200.2348,COD
A10020,2026-01-26,2026-01-12,2026-02-10,Delivered,C9069,Anthony Contreras,India,Utah,Adamsborough,P613,reach,Electronics,Laptop,Nixon-Collins,5,6996.65,0.21,141.48,27778.2475,Card
A10021,2026-02-07,2026-01-19,2026-01-04,Delivered,C6006,William Graves,India,California,West Stephanie,P670,cultural,Home,Furniture,Powers-Strickland,4,31380.18,0.09,40.43,114264.2852,COD
A10022,2026-01-21,2026-01-04,2026-01-02,Delivered,C5324,Sharon Randall,India,Utah,North Frederick,P142,one,Fashion,Footwear,"Turner, Sims and Edwards",2,36313.76,0.2,31.44,58133.456000000006,COD
A10023,2026-01-15,2026-01-09,2026-01-03,Delivered,C7001,David Carlson,India,Oregon,Timothyborough,P280,watch,Fashion,Footwear,Davies Ltd,3,45588.62,0.19,100.33,110880.67660000002,Card
A10024,2026-01-27,2026-02-07,2026-01-19,Delivered,C9013,Kristie Douglas,India,Vermont,Abigailport,P686,future,Fashion,Clothing,Donovan-Cline,5,23173.46,0.16,128.34,97456.87199999999,COD
A10025,2026-01-25,2026-01-12,2026-01-09,Delivered,C6977,Michael Atkins,India,Indiana,Mileshaven,P460,but,Fashion,Clothing,Powers-Compton,1,17305.63,0.29,104.76,12391.757300000001,Card
A10026,2026-02-02,2026-02-09,2026-01-06,Delivered,C9964,Christopher Larsen,India,Indiana,New Kimberly,P887,camera,Fashion,Footwear,"Erickson, Higgins and Gregory",3,10260.65,0.04,57.13,29607.801999999996,COD
A10027,2026-01-26,2026-01-17,2026-02-10,Delivered,C5658,Dr. Willie Pope,India,California,East Teresa,P486,system,Electronics,Mobile,Mccall-Sanchez,3,11373.4,0.0,121.47,34241.67,COD
A10028,2026-01-05,2026-01-21,2026-01-24,Delivered,C9543,Dennis Gutierrez,India,Pennsylvania,Dwaynehaven,P305,set,Electronics,Laptop,Valdez Ltd,5,7023.5,0.19,45.35,28490.525,NetBanking
A10029,2026-01-13,2026-01-11,2026-01-29,Delivered,C1177,Patricia Rodriguez,India,New Jersey,Port Amandafurt,P572,son,Fashion,Footwear,Zuniga-Stewart,4,1038.68,0.27,112.1,3145.0456,NetBanking
A10030,2026-01-16,2026-01-21,2026-02-10,Delivered,C7260,Scott Johnson,India,Pennsylvania,North Sara,P876,recognize,Electronics,Accessories,Shaw Group,4,46779.63,0.06,125.58,176016.98879999996,NetBanking
A10031,2026-01-06,2026-01-17,2026-02-04,Delivered,C6347,Rickey Foster,India,Arizona,South Roberta,P457,ability,Home,Furniture,"Fowler, Luna and Johnson",3,15345.2,0.07,147.05,42960.158,NetBanking
A10032,2026-02-03,2026-01-11,2026-01-09,Delivered,C8538,Paige Williams,India,Rhode Island,Davisburgh,P308,who,Electronics,Laptop,Day-Novak,5,38953.82,0.1,68.33,175360.52,COD
A10033,2026-01-29,2026-01-30,2026-01-24,Delivered,C8881,Stephen Smith,India,New Jersey,Kristiebury,P720,environment,Electronics,Laptop,Luna-Rosales,2,32718.59,0.08,60.17,60262.3756,Card
