id_usuario,nombre,email,fecha_registro,ciudad,plan,telefono,utm_source,utm_campaign,columna_innecesaria1,columna_innecesaria2
,Camila Fuentes,,05-11-2023,La Florida,,+56 9 4517 1614,,SUMMER ,1145.0,x
,Javiera Silva,correo_invalido,2025-05-19,Puente Alto,Free,+56 9 7499 1812,google,blackfriday,,y
3.0,Javiera Silva,javiera836@outlook.com,,La Florida,Pro,9-123,google,summer,,   
4.0,camila fuentes,camila307@outlook.com,,PUENTE ALTO,Free,,linkedin,SUMMER ,4718.0,x
5.0,JAVIERA SILVA,,06/05/2025,,Free,9-123,linkedin,SUMMER ,,x
,,correo_invalido,06-07-2024,puente alto,,9-123,,,,
7.0,MARÍA LÓPEZ,maría787@empresa.cl,28-08-2023,PUENTE ALTO, free ,+56 9 7405 9134,meta,SUMMER ,,y
8.0,diego herrera,diego700@mail.com,2024-13-40,Providencia,Pro,9-123,meta,summer,7946.0,
9.0,Luis Diaz,luis379@empresa.cl,09/01/2023,Puente Alto,,9-123,  GOOGLE  ,SUMMER ,,   
10.0,Juan Soto,juan196@gmail.com,2024-13-40,MAIPÚ,Free,+56 9 6571 1861,google,blackfriday,8792.0,
11.0,Matias González,correo_invalido,2023-02-22,ñuñoa,,+56 9 6966 8768,google,SUMMER ,,   
12.0,,,25/06/2023,PUENTE ALTO,,9-123,linkedin,blackfriday,8900.0,
13.0,JUAN SOTO,correo_invalido,,La Florida,Enterprise,+56 9 4654 4197,,blackfriday,,
14.0,ana pérez,,2023/02/27 00:00:00,puente alto,Enterprise,+56 9 2319 4612,meta,SUMMER ,,y
,valentina torres,correo_invalido,04-01-2023, Santiago ,Pro,,linkedin,summer,,   
16.0,Juan Soto,correo_invalido,22/11/2023,Providencia,,+56 9 8771 6741,  GOOGLE  ,blackfriday,351.0,x
17.0,JAVIERA SILVA,javiera29@empresa.cl,13-10-2023,Ñuñoa,Pro,9-123,,blackfriday,,   
,MATÍAS GONZÁLEZ,correo_invalido,24-11-2025,La Florida, free ,+56 9 4000 1064,meta,blackfriday,7758.0,x
, Camila Fuentes ,correo_invalido,,SANTIAGO,Pro,+56 9 5537 1691,  GOOGLE  ,SUMMER ,9204.0,x
,Valentina Torres,correo_invalido,, Ñuñoa ,,9-123,meta,,9168.0,   
21.0, María López ,correo_invalido,2025-05-03, Providencia ,Free,+56 9 4484 5960,meta,,,y
22.0, Valentina Torres ,valentina907@mail.com,2024-13-40,PUENTE ALTO,Pro,,linkedin,SUMMER ,,
23.0,Juan Soto,correo_invalido,2025-01-19, Santiago ,Enterprise,9-123,google,summer,3745.0,x
24.0,luis díaz,,2024-07-10,puente alto, free ,9-123,  GOOGLE  ,SUMMER ,5359.0,
25.0,ana pérez,correo_invalido,11-01-2024,santiago,Free,,google,SUMMER ,,   
,,luis245@gmail.com,2023-09-22,Ñuñoa,Pro,9-123,linkedin,blackfriday,,y
27.0,Luis Díaz,correo_invalido,2024-12-11,La Florida,Pro,+56 9 9425 8778,,summer,,   
28.0,JAVIERA SILVA,correo_invalido,2024-13-40,,Pro,+56 9 7630 6694,meta,summer,,   
, María López ,correo_invalido,2023-04-24,,Enterprise,+56 9 1741 8527,meta,,7305.0,
30.0,CAMILA FUENTES,camila36@empresa.cl,,ÑUÑOA,Free,+56 9 6494 7252,,,8238.0,y
31.0,Javiera Silva,correo_invalido,2023-01-11, Santiago ,Free,9-123,meta,summer,9595.0,   
32.0,,camila634@outlook.com,09/10/2025,Puente Alto, free ,9-123,  GOOGLE  ,summer,9570.0,x
,ana pérez,,27/03/2023,Maipú,Free,9-123,meta,SUMMER ,4322.0,   
34.0,,correo_invalido,, Puente Alto ,Enterprise,+56 9 2219 5350,meta,blackfriday,,   
35.0,Juan Soto,juan632@outlook.com,2024-13-40,LA FLORIDA,Enterprise,9-123,  GOOGLE  ,blackfriday,,x
36.0,,,2024-13-40,Puente Alto,Enterprise,,google,blackfriday,5107.0,   
37.0,Ana Pérez,,16-08-2024,MAIPÚ,Pro,+56 9 2222 2479,  GOOGLE  ,,5891.0,
38.0, Juan Soto ,juan404@gmail.com,17/01/2025, Santiago , free ,9-123,meta,SUMMER ,,
39.0,juan soto,juan860@mail.com,2024-11-09,,Free,,google,SUMMER ,6393.0,
40.0,Diego Herrera,correo_invalido,2024-07-17,PROVIDENCIA,Enterprise,,meta,,7009.0,   
41.0,Javiera Silva,,2024-13-40,LA FLORIDA,Enterprise,9-123,meta,blackfriday,,
,,,2024/09/01 00:00:00,PUENTE ALTO,Enterprise,+56 9 8916 7461,meta,blackfriday,1232.0,   
43.0, Javiera Silva ,correo_invalido,26-03-2024,PROVIDENCIA,Free,9-123,google,,,
, Matías González ,correo_invalido,2024-02-18,LA FLORIDA, free ,+56 9 5427 6541,,,,y
45.0,Javiera Silva,,2024-13-40,, free ,+56 9 8075 6112,meta,summer,,   
, Ana Pérez ,ana996@mail.com,30-05-2023,SANTIAGO,Pro,9-123,google,SUMMER ,1393.0,x
47.0,,maría733@empresa.cl,,puente alto,,+56 9 8166 2837,google,,8593.0,   
48.0,Luis Díaz,,,ñuñoa,Pro,+56 9 8787 9622,  GOOGLE  ,blackfriday,,
49.0,,ana663@mail.com,14/02/2023,ÑUÑOA, free ,,google,,,   
,Pedro Rojas,,2023/01/14 00:00:00,providencia,Pro,+56 9 4781 8620,linkedin,,,y
,Pedro Rojas,,20-09-2025,SANTIAGO,Free,+56 9 3325 7805,google,blackfriday,,
52.0,JUAN SOTO,juan190@mail.com,12/06/2023,, free ,,meta,summer,48.0,
53.0,Juan Soto,,20-12-2024,ñuñoa, free ,9-123,,blackfriday,,y
54.0,Camila Fuentes,camila647@mail.com,2024-13-40, Puente Alto ,Free,,google,summer,4211.0,x
55.0,matías gonzález,,2024/11/25 00:00:00,,Enterprise,+56 9 5515 5872,  GOOGLE  ,summer,398.0,x
56.0, Valentina Torres ,valentina835@mail.com,11-08-2025,MAIPÚ,Free,9-123,meta,,,
57.0, Matías González ,matías771@outlook.com,,Maipú,Free,,meta,SUMMER ,1724.0,
58.0, Matías González ,matías511@mail.com,22/06/2023,PROVIDENCIA, free ,9-123,  GOOGLE  ,summer,,
59.0,,,2024/07/02 00:00:00,PROVIDENCIA,Pro,,  GOOGLE  ,blackfriday,5347.0,   
,LUIS DÍAZ,correo_invalido,,Maipú,Free,+56 9 1073 8778,,,,y
,Juan Soto,,14/04/2023,LA FLORIDA, free ,+56 9 5258 1103,  GOOGLE  ,,3566.0,
62.0,camila fuentes,camila40@outlook.com,2023-10-17, Ñuñoa ,Enterprise,+56 9 4033 6115,meta,summer,,x
,Diego Herrera,correo_invalido,27-07-2023, Providencia ,Enterprise,9-123,linkedin,SUMMER ,,
64.0,,correo_invalido,2025-05-02,MAIPÚ,Free,,google,summer,,   
65.0,Maria López,maría146@mail.com,2023-09-24,La Florida,Enterprise,+56 9 9265 3812,linkedin,,2652.0,x
66.0,juan soto,,24-02-2025,Ñuñoa,,9-123,  GOOGLE  ,blackfriday,,y
67.0,Valentina Torres,,,Ñuñoa,Pro,+56 9 5047 4155,  GOOGLE  ,summer,5312.0,   
,matías gonzález,,,LA FLORIDA, free ,,  GOOGLE  ,SUMMER ,2929.0,x
69.0, Matías González ,matías782@mail.com,29-09-2025, Maipú ,Free,,,,,x
,ana pérez,ana797@gmail.com,2023-09-24, La Florida ,Pro,9-123,google,blackfriday,,
71.0,Maria López,maría775@empresa.cl,2024-03-28,Ñuñoa,Enterprise,,  GOOGLE  ,SUMMER ,,y
72.0,CAMILA FUENTES,correo_invalido,2025-02-01,,Enterprise,,google,summer,,x
73.0,luis díaz,correo_invalido,2024-13-40,providencia,Enterprise,+56 9 2333 8246,meta,summer,,
74.0,,matías35@outlook.com,2024-13-40,Ñuñoa, free ,,google,blackfriday,8002.0,x
,ana pérez,correo_invalido,2023-04-22,Ñuñoa,Pro,9-123,meta,blackfriday,,y
,MARÍA LÓPEZ,maría462@gmail.com,29/01/2023,PUENTE ALTO,Enterprise,+56 9 7585 5329,google,,,   
77.0,Pedro Rojas,,2023-12-05,PROVIDENCIA,Pro,+56 9 1956 2718,  GOOGLE  ,blackfriday,,y
, Javiera Silva ,correo_invalido,2024-13-40,Ñuñoa,Enterprise,9-123,  GOOGLE  ,summer,,   
79.0,Juan Soto,correo_invalido,15/07/2025,Santiago,Enterprise,,  GOOGLE  ,SUMMER ,,
